timestamp,message,winlog
2024-10-27 23:04:24.903000+00:00,"Registry value set:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: SetValue
UtcTime: 2024-10-27 18:04:24.903
ProcessGuid: {ee0ea3cf-0c30-671b-bf00-000000000800}
ProcessId: 2232
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\System\CurrentControlSet\Services\W32Time\Config\Status\LastGoodSampleInfo
Details: 133745258649038708;VM IC Time Synchronization Provider
User: NT AUTHORITY\LOCAL SERVICE","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4512}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_data': {'EventType': 'SetValue'}, 'opcode': 'Info', 'version': 2, 'record_id': '158479', 'event_id': '13', 'task': 'Registry value set (rule: RegistryEvent)', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:23.642000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:23.642
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 22012
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158481', 'task': 'Network connection detected (rule: NetworkConnect)', 'event_id': '3', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:20.992000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:20.992
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 4755
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158480', 'task': 'Network connection detected (rule: NetworkConnect)', 'event_id': '3', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:19.064000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:19.064
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 49185
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158476', 'event_id': '3', 'task': 'Network connection detected (rule: NetworkConnect)', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:17.164000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:17.164
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 34983
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158475', 'event_id': '3', 'task': 'Network connection detected (rule: NetworkConnect)', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:15.103000+00:00,"Registry object added or deleted:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: CreateKey
UtcTime: 2024-10-27 18:04:15.103
ProcessGuid: {d2bc1b7f-0bc6-671b-c100-000000000800}
ProcessId: 1828
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\System\CurrentControlSet\Services\W32Time\Config\Status
User: NT AUTHORITY\LOCAL SERVICE","{'computer_name': 'Window2', 'process': {'pid': 3380, 'thread': {'id': 4588}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_data': {'EventType': 'CreateKey'}, 'opcode': 'Info', 'version': 2, 'record_id': '161428', 'event_id': '12', 'task': 'Registry object added or deleted (rule: RegistryEvent)', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:15.103000+00:00,"Registry value set:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: SetValue
UtcTime: 2024-10-27 18:04:15.103
ProcessGuid: {d2bc1b7f-0bc6-671b-c100-000000000800}
ProcessId: 1828
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\System\CurrentControlSet\Services\W32Time\Config\Status\LastGoodSampleInfo
Details: 133745258551031303;VM IC Time Synchronization Provider
User: NT AUTHORITY\LOCAL SERVICE","{'computer_name': 'Window2', 'process': {'pid': 3380, 'thread': {'id': 4588}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_data': {'EventType': 'SetValue'}, 'opcode': 'Info', 'version': 2, 'record_id': '161429', 'task': 'Registry value set (rule: RegistryEvent)', 'event_id': '13', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:15.102000+00:00,"Registry value set:
RuleName: technique_id=T1543,technique_name=Service Creation
EventType: SetValue
UtcTime: 2024-10-27 18:04:15.102
ProcessGuid: {d2bc1b7f-0bc6-671b-c100-000000000800}
ProcessId: 1828
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\System\CurrentControlSet\Services\W32Time\Config\LastKnownGoodTime
Details: QWORD (0x01db289a-0xa253ac71)
User: NT AUTHORITY\LOCAL SERVICE","{'computer_name': 'Window2', 'process': {'pid': 3380, 'thread': {'id': 4588}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_data': {'EventType': 'SetValue'}, 'opcode': 'Info', 'version': 2, 'record_id': '161427', 'task': 'Registry value set (rule: RegistryEvent)', 'event_id': '13', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:15.031000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:15.031
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 19416
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158474', 'task': 'Network connection detected (rule: NetworkConnect)', 'event_id': '3', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
2024-10-27 23:04:12.367000+00:00,"Network connection detected:
RuleName: technique_id=T1021,technique_name=Remote Services
UtcTime: 2024-10-27 18:04:12.367
ProcessGuid: {ee0ea3cf-0bab-671b-1300-000000000800}
ProcessId: 772
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: tcp
Initiated: false
SourceIsIpv6: false
SourceIp: 193.3.19.230
SourceHostname: -
SourcePort: 2038
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 10.0.0.4
DestinationHostname: -
DestinationPort: 3389
DestinationPortName: -","{'computer_name': 'Window3', 'process': {'pid': 3520, 'thread': {'id': 4128}}, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'opcode': 'Info', 'version': 5, 'record_id': '158473', 'task': 'Network connection detected (rule: NetworkConnect)', 'event_id': '3', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'api': 'wineventlog', 'provider_name': 'Microsoft-Windows-Sysmon', 'user': {'identifier': 'S-1-5-18', 'domain': 'NT AUTHORITY', 'name': 'SYSTEM', 'type': 'User'}}"
